Time,Price,%,SD
12/03 09:25,"1,495.72",0.08,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,0,0,4875,1450,360,0,0,360
3959,0,0,3959,1460,478,0,0,478
3156,0,0,3156,1470,641,0,0,641
2405,0,0,2405,1480,864,0,0,864
1718,0,0,1718,1490,1184,0,0,1184
1160,0,0,1160,1500,1622,0,0,1622
734,0,0,734,1510,2206,0,0,2206
440,0,0,440,1520,2908,0,0,2908
260,0,0,260,1530,3748,0,0,3748
146,0,0,146,1540,4608,0,0,4608
Time,Price,%,SD
12/03 09:27,"1,495.72",0.08,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,0,0,4875,1450,360,0,0,360
3959,0,0,3959,1460,478,0,0,478
3156,0,0,3156,1470,641,0,0,641
2405,0,0,2405,1480,864,0,0,864
1718,0,0,1718,1490,1184,0,0,1184
1160,0,0,1160,1500,1622,0,0,1622
734,0,0,734,1510,2206,0,0,2206
440,0,0,440,1520,2908,0,0,2908
260,0,0,260,1530,3748,0,0,3748
146,0,0,146,1540,4608,0,0,4608
Time,Price,%,SD
12/03 09:29,"1,495.72",0.08,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,0,0,4875,1450,360,0,0,360
3959,0,0,3959,1460,478,0,0,478
3156,0,0,3156,1470,641,0,0,641
2405,0,0,2405,1480,864,0,0,864
1718,0,0,1718,1490,1184,0,0,1184
1160,0,0,1160,1500,1622,0,0,1622
734,0,0,734,1510,2206,0,0,2206
440,0,0,440,1520,2908,0,0,2908
260,0,0,260,1530,3748,0,0,3748
146,0,0,146,1540,4608,0,0,4608
Time,Price,%,SD
12/03 09:37,"1,496.64",0.14,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,0,0,4875,1450,280,0,0,360
3959,0,0,3959,1460,380,0,0,478
3156,0,0,3460,1470,510,0,0,641
2405,0,0,2680,1480,700,0,0,864
1718,1950,1860,1920,1490,980,0,0,1184
1160,1300,1290,1320,1500,1370,0,0,1622
734,820,810,850,1510,1890,0,0,2206
440,490,490,510,1520,2550,0,0,2908
260,0,0,300,1530,3320,0,0,3748
146,0,0,165,1540,4608,0,0,4608
Time,Price,%,SD
12/03 09:39,"1,496.64",0.14,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,0,0,4875,1450,280,270,290,360
3959,0,0,3959,1460,380,370,410,478
3156,3460,3440,3460,1470,510,490,560,641
2405,2700,2670,2680,1480,700,680,770,864
1718,1960,1860,1920,1490,980,950,1000,1184
1160,1350,1290,1320,1500,1370,1340,1500,1622
734,870,810,850,1510,1890,1870,1890,2206
440,530,490,510,1520,2550,2540,2550,2908
260,310,290,300,1530,3320,3320,3320,3748
146,170,165,165,1540,4608,0,0,4608
Time,Price,%,SD
12/03 09:41,"1,497.36",0.19,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,0,0,4875,1450,280,270,290,360
3959,0,0,3959,1460,380,370,410,478
3156,3460,3440,3460,1470,510,490,560,641
2405,2700,2670,2680,1480,700,680,770,864
1718,1960,1860,1920,1490,980,950,1000,1184
1160,1350,1290,1320,1500,1370,1340,1500,1622
734,870,810,850,1510,1890,1870,1890,2206
440,530,490,510,1520,2550,2540,2550,2908
260,310,290,300,1530,3320,3320,3320,3748
146,170,165,165,1540,4608,0,0,4608
Time,Price,%,SD
12/03 09:47,"1,500.65",0.41,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
3959,0,0,3959,1460,370,360,410,478
3156,3580,3420,3470,1470,500,480,560,641
2405,2760,2630,2680,1480,690,660,770,864
1718,2010,1860,1960,1490,970,920,1000,1184
1160,1390,1290,1340,1500,1350,1300,1500,1622
734,890,810,860,1510,1880,1800,1910,2206
440,550,490,520,1520,2530,2490,2580,2908
260,320,290,300,1530,3330,3230,3360,3748
146,180,165,175,1540,4190,4100,4210,4608
